FID	Area_WHS	Area_SSSI	Area_SPA	Area_SAC	Area_RAMSA	Area_NR	Area_NNR	Area_MPAdi	Area_MCA	Area_LNR	Area_COUNE	Area_CNTRY	Area_BIOSP	Area_BIOGE	Count_WW	Count_Air	Count_Bus	Count_Hotel	Sum_Rating	Count_CarPark	Count_TourOp	Count_train	Mean_Wild	Dist_Motorway	Dist_A_road	Dist_B_road	Dist_min_road	Area_NP	Area_PA	Dist_road	Count_Inf	Dist_Coast	Mean_Nat	Dist_Air	Dist_Bus	Dist_CarPark	Dist_Hotel	Dist_TourOp	Dist_Train	Pop_dens	Pop	PDist	PDist.1	
618	617	0	0.131750572	0	0	0	0	0	0	0	1.555443924	0	1.793337665	0	0	1959	0	1342	560	785.8	44	0	10	21.65536875	0	0	0	0	0	3.479641362	0	1922	53.78608955	51.42256875	1137.933713	0	0	0	4116.334555	0	2259.570625	225957.0625	46732.27148	46732.27148
619	618	0	9.366431802	0	0.00204207	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	60.1559125	0	0	0	0	0	9.368473872	0	4	10148.32054	136.1421063	32001.04431	836.9949588	5595.084223	0	19080.3864	9884.555136	17.41675621	1741.675621	36054.13569	36054.13569
620	619	0	0.113911486	0	0	0	0	0	0	0	0	0	0	0	0	20	0	30	9	13.1	0	0	0	35.37471875	0	0	0	0	0	0.113911486	0	39	9486.024354	75.147775	14087.27833	0	3817.000279	0	13853.70316	4739.335205	24.21498291	2421.498291	69704.95894	69704.95894
621	620	0	12.48612664	0	0	0	0	0	0	0	9.164928349	0	0	39.35416198	0	8	0	10	12	8.7	0	0	0	57.78885793	0	0	0	0	0	53.85606508	0	22	0	127.251227	70372.4127	0	19039.91143	0	15289.35732	34436.1765	8.169714488	321.9951401	127678.1074	127678.1074
622	621	0	0.887350826	0	0.828763941	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	57.6006625	0	2449.024354	0	0	0	1.247911588	0	5	5333.928804	128.9078688	51668.01898	2599.032145	8002.217779	0	17576.14027	11951.15485	14.9867067	1498.67067	17567.32041	17567.32041
623	622	0	13.40266714	12.81049877	0	0	0	0	0	4.708291701	0	0	0	0	0	115	0	89	43	35	3	0	1	75.44150205	0	0	0	0	0	17.97872222	0	136	0	162.7109136	19516.9543	0	0	0	9681.027137	0	41.12532539	2885.853333	46609.0392	46609.0392
624	623	0	0.014245372	0	0	0	0	0	0	0	0	0	0	0	0	19	0	28	1	0	0	0	0	92.78700615	0	0	0	0	0	0.019358737	0	27	0	216.3988685	43466.66592	0	5177.541447	0	15041.54793	226250.7057	5.770012154	537.330101	7913.353577	7913.353577
625	624	0	17.21943322	0	17.21943156	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	0	0	0	74.30509375	0	0	0	0	11.45226844	28.67170084	0	1	37707.78609	178.1436687	41976.54453	1.022085169	11934.20314	0	16050.93989	14954.14978	4.607235222	460.7235222	52681.25863	52681.25863
626	625	0	1.220668229	1.163859161	0	1.160416871	0	0	0	0	0	0	0	0	0	64	0	253	31	29.8	4	0	3	31.31951471	0	0	0	0	0	1.230523941	0	295	0	77.81099169	21137.93371	0	0	0	10208.50704	0	298.9939672	27053.13977	35997.51752	35997.51752
627	626	0	7.323829539	2.585159645	6.630804478	0	0	0	0	0	0	0	0	0	0	66	0	35	31	16.4	0	0	0	48.64994848	0	0	0	0	0	9.932684456	0	61	0	112.0515392	21957.17891	0	18372.64947	0	4736.537182	38951.20713	22.81709219	774.8642731	5309.040825	5309.040825
628	627	0	28.29921991	0	0.271884923	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	86.65896875	0	2393.982108	0	0	0	28.46337619	0	5	37148.7116	185.550325	37399.45094	0	3170.793344	0	2680.660346	21015.94268	12.72755005	1272.755005	75870.05235	75870.05235
629	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	114.4687763	216.024354	4532.476563	620.024354	216.024354	0	0	216.024354	0	0	189.6094891	16338.14356	694.2230668	14932.94912	595.0108973	9987.82823	195889.3859	0	0	14456.73658	14456.73658
630	629	0	63.18071181	1.846519093	63.18071372	0	0	0	0	0	0	0	0	20.35109478	0	0	0	0	0	0	0	0	0	158.9386813	1914.975646	12599.01555	27880.66812	1914.975646	0	83.53180754	1914.975646	0	11004.97565	220.1298313	63140.53168	12623.28723	5027.727409	6326.140265	23009.83954	13236.46389	2.104474525	210.4474525	19901.26544	19901.26544
631	630	0	3.151159463	0	0.411744851	0	0	0	0	0	0	0	0	0	0	8	0	16	4	4	0	0	0	56.6325	0	0	0	0	0	3.151159511	0	21	37999.99657	131.2993	32035.43154	0	13037.08345	0	26050.93989	6816.876163	4.010039673	401.0039673	56751.44664	56751.44664
632	631	0	62.19406677	26.59474363	52.47973365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.9195875	6445.49789	6445.49789	8286.21391	8280.024354	0	62.19696104	6445.49789	0	27881.25986	222.535475	78462.82801	7310.277005	17664.38899	5023.977502	26497.02777	9532.618008	1.790789146	179.0789146	57333.74403	57333.74403
633	632	0	23.59591676	21.36957735	0.76128753	0	0	0	0	0	0	0	0	86.05386547	0	10	0	15	16	4.1	0	0	0	61.32780842	0	0	0	0	0	86.21993894	0	31	0	135.7912306	44699.08963	0	6423.079289	0	22058.40671	6382.078949	8.756625825	754.5426178	80417.96757	80417.96757
634	633	0	1.365184328	0.01474594	0.656722141	0.015207205	0	0	0	0	0	0	0	0	0	31	0	45	34	58.7	2	0	1	40.37547257	0	0	0	0	0	1.369145453	0	82	0	96.03912114	98017.0079	0	0	0	7796.995765	0	39.13171544	3125.596207	101753.8421	101753.8421
635	634	0	1.826966311	27.09262946	1.426945244	0	1.426945236	1.42694518	0	0	0	0	0	0	0	2	0	9	4	4.5	0	0	0	92.5041	0	0	0	0	0	28.91959703	0	13	7844.497932	173.233325	63615.02784	0	19168.08416	0	22440.07734	237.8556144	1.255278072	125.5278072	24480.1251	24480.1251
636	635	0	5.610509935	68.25096022	5.610510119	0	0	0	0	0	0	7.902211131	0	0	0	170	1	0	2	4.4	0	0	0	95.49284028	0	35935.22893	41787.12532	0	0	70.7751392	0	3	0	203.4439628	0	35780.94679	75463.90095	0	66495.87139	140738.3434	12.24123946	98.3429718	49100.12946	49100.12946
637	636	0	4.611638009	0	2.887488059	0	0	2.288926252	0	0	0	0	0	0	0	77	0	10	37	37.8	0	0	0	74.4956375	0	0	0	0	94.39864644	94.40059973	0	47	16349.97565	158.291225	29868.11759	0	484.5170057	0	22304.22828	15058.1594	9.648053894	964.8053894	66489.16274	66489.16274
