FID	Records	Species
528	55	46
529	21	19
530	0	0
531	42	22
532	1	1
533	171	56
534	48	42
535	0	0
536	2	2
537	40	31
538	27	20
539	0	0
540	402	166
541	1	1
542	850	162
543	58	48
544	6	4
545	0	0
546	153	72
547	14	14
548	0	0
549	0	0
550	335	77
551	168	111
552	26	18
553	72	23
554	60	44
555	637	97
556	29	29
557	0	0
558	239	106
559	7	7
560	324	80
561	264	102
562	8	8
563	21	17
564	222	79
565	6	5
566	33	26
567	1	1
568	83	30
569	2	2
570	83	50
571	0	0
572	158	82
573	3541	194
574	0	0
575	21	19
576	4	4
577	0	0
578	6566	353
579	18	14
580	0	0
581	371	90
582	112	65
583	21	21
584	170	85
585	30	24
586	13	13
587	150	68
588	2	2
589	5	4
590	920	66
591	528	180
592	34	29
593	1106	133
594	241	108
595	373	114
596	1648	102
597	2	2
598	3	3
599	0	0
600	116	64
601	52	41
602	181	78
603	91	79
604	70	27
605	26	20
606	167	50
607	0	0
608	2	2
609	0	0
610	0	0
611	0	0
612	49	24
613	0	0
614	871	148
615	1	1
616	0	0
617	1563	150
618	76	51
619	101	44
620	0	0
621	155	57
622	81	69
623	272	145
624	4	3
625	876	166
626	357	135
627	0	0
628	0	0
629	0	0
630	1	1
631	0	0
632	464	174
633	38	23
634	17	15
635	2194	309
636	181	61
637	0	0
638	25	18
639	84	50
640	0	0
641	21	17
642	21	19
643	26	26
644	3	2
645	62	59
646	2	2
647	17	6
648	0	0
649	2	2
650	0	0
651	98	49
652	2	2
653	0	0
654	6	6
655	0	0
656	32	23
657	0	0
658	0	0
659	444	162
660	144	91
661	43	27
662	66	65
663	0	0
664	0	0
665	22	20
666	12	11
667	95	9
668	8	6
669	442	146
670	57	42
671	19	17
672	0	0
673	39	24
674	5	5
675	15	12
676	998	192
677	33	28
678	41	36
679	740	74
680	13	8
681	0	0
682	0	0
683	183	103
684	0	0
685	37	26
686	24	21
687	263	93
688	612	94
689	70	66
690	2	2
691	265	72
692	2	2
693	40	34
694	0	0
695	89	46
696	151	93
697	16	12
698	0	0
699	11	11
700	55	42
701	0	0
702	0	0
703	456	164
704	2	2
705	0	0
706	0	0
707	50	20
708	24	21
709	24	23
710	21	21
711	60	46
712	0	0
713	36	31
714	149	60
715	96	34
716	141	75
717	49	36
718	1	1
719	0	0
720	3	3
721	9837	122
722	27	17
723	275	122
724	9	8
725	2	2
726	43	32
727	89	63
728	144	76
729	0	0
730	122	58
731	0	0
732	14	14
733	0	0
734	6	4
735	3	2
736	557	133
737	709	104
738	12	12
739	21	20
740	5	5
741	0	0
742	53	51
743	3	2
744	144	48
745	4	4
746	2776	137
747	0	0
748	6	6
749	0	0
750	0	0
751	44	33
752	0	0
753	32	30
754	0	0
755	38	23
756	48	27
757	321	97
758	22	22
759	0	0
760	518	155
761	113	79
762	373	72
763	0	0
764	14	14
765	40	26
766	12	10
767	26	26
768	1	1
769	1253	184
770	4	4
771	38	32
772	46	35
773	1	1
774	244	61
775	245	71
776	5	1
777	52	40
778	82	57
779	24	21
780	34	34
781	1	1
782	22	15
783	2	2
784	10299	361
785	12	10
786	17	13
787	30	26
788	315	105
789	0	0
790	188	106
791	320	114
792	795	118
793	484	147
794	0	0
795	103	77
796	139	60
797	0	0
798	0	0
799	24	23
800	0	0
801	636	177
802	0	0
803	178	59
804	99	49
805	64	45
806	1	1
807	97	72
808	242	122
809	0	0
810	1	1
811	0	0
812	2	2
813	227	85
814	4	4
815	15	14
816	109	96
817	115	85
818	601	189
819	0	0
820	0	0
821	42	33
822	0	0
823	148	67
824	112	68
825	0	0
826	1	1
827	0	0
828	159	92
829	241	55
830	9	7
831	36	35
832	1192	210
833	0	0
834	2	2
835	284	128
836	1	1
837	339	81
838	144	99
839	508	97
840	2	2
841	96	61
842	13	11
843	9	9
844	115	66
845	421	141
846	684	138
847	565	188
848	58	50
849	3134	164
850	19	16
851	0	0
852	229	84
853	0	0
854	42	37
855	151	51
856	34	30
857	157	77
858	64	63
859	36	29
860	15	15
861	63	50
862	0	0
863	50	49
864	1	1
865	0	0
866	42	34
867	0	0
868	3150	274
869	2657	271
870	34	31
871	11	11
872	38	28
873	2994	296
874	339	159
875	127	55
876	1	1
877	2	1
878	680	94
879	755	131
880	62	39
881	0	0
882	177	64
883	0	0
884	296	101
885	157	71
886	264	112
887	260	120
888	17	17
889	50	42
890	13	12
891	0	0
892	9	9
893	136	126
894	23	23
895	1	1
896	229	86
897	104	64
898	35	11
899	56	46
900	57	31
901	196	59
902	0	0
903	0	0
904	6	6
905	0	0
906	0	0
907	114	74
908	88	86
909	54	45
910	0	0
911	9	7
912	0	0
913	94	54
914	22	11
915	19	17
916	0	0
917	1035	118
918	43	25
919	1968	248
920	0	0
921	84	52
922	735	115
923	59	54
924	49	27
925	104	47
926	73	42
927	0	0
928	0	0
929	0	0
930	218	102
931	156	54
932	107	99
933	161	61
934	36	26
935	207	53
936	164	140
937	401	149
938	70	38
939	0	0
940	92	62
941	30	10
942	1222	221
943	304	108
944	0	0
945	0	0
946	8	8
947	56	35
948	193	119
949	0	0
950	78	66
951	9	8
952	5	4
953	1	1
954	53	21
955	0	0
956	180	82
957	9	9
958	13	2
959	48	34
960	0	0
961	205	79
962	3	3
963	74	36
964	174	64
965	353	151
966	0	0
967	8	8
968	57	57
969	591	47
970	27	22
971	1066	232
972	38	25
973	1068	113
974	768	173
975	0	0
976	14	12
977	0	0
978	3	3
979	0	0
980	388	51
981	1058	232
982	2	2
983	15	6
984	143	31
985	148	82
986	136	44
987	1	1
988	69	59
989	0	0
990	32	21
991	1154	138
992	15	13
