"FID"	"Area_WHS"	"Area_SSSI"	"Area_SPA"	"Area_SAC"	"Area_RAMSA"	"Area_NR"	"Area_NNR"	"Area_MPAdi"	"Area_MCA"	"Area_LNR"	"Area_COUNE"	"Area_CNTRY"	"Area_BIOSP"	"Area_BIOGE"	"Count_WW"	"Count_Air"	"Count_Bus"	"Count_Hotel"	"Sum_Rating"	"Count_CarPark"	"Count_TourOp"	"Count_train"	"Mean_Wild"	"Dist_Motorway"	"Dist_A_road"	"Dist_B_road"	"Dist_min_road"	"Longitude"	"Latitude"	"Area_NP"	"Area_PA"	"Dist_road"	"Count_Inf"	"Dist_Coast"	"Mean_Nat"	"Dist_Air"	"Dist_Bus"	"Dist_CarPark"	"Dist_Hotel"	"Dist_TourOp"	"Dist_Train"	"Pop_dens"	"Pop"	"Dist_MCA"	"Dist_MPA"	"Area_SAC_L"	"Dist_MSAC"	"Records"	"Species"
0	0	0.002225111	0	0.004503484	0	0	0	0	0	0	0	0	0	0	9	0	13	3	4.7	0	0	0	67.44593125	0	2876.072835	0	0	-3.24244376	55.30161747	0	0.004795014	0	16	28116.68194	131.7850313	67391.74317	0	15409.2767	0	16560.97161	14940.15403	9.898555908	989.8555908	84578.26827	105987.9321	0.004503484	93869.38483	0	0
1	0	0.862564138	17.5446457	0	0	0	0	0	0	0	0	0	0	0	18	0	10	7	4	0	0	0	93.76155485	0	0	5677.110872	0	-6.137874594	55.86730961	0	17.69668044	0	17	0	196.9141754	15049.95445	0	38280.16589	0	8703.11346	66428.211	1.625735023	134.15382	4898.127512	19294.26435	0	6257.05327	84	73
2	0	36.6514008	24.57089507	25.10115162	24.59642009	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	107.3081875	0	0	714.024354	0	-4.536565126	58.24730276	0	37.0225204	0	2	16318.78609	205.3938812	77413.18842	0	25656.76879	554.6002152	33397.80784	22726.08304	0.944687653	94.46876526	18568.09581	43468.24349	25.10115162	31780.19785	0	0
3	0	34.23585916	67.96999825	3.508131083	0	0	0	0	0	0	0	0	0	0	69	0	2	6	0	0	1	0	96.3033413	0	0	0	0	-6.034515331	56.41031629	0	70.24692659	0	9	0	178.2557756	46597.48556	0	11478.50826	0	0	29574.64769	1.948756773	167.6933174	13287.10295	1925.495646	2.04536314	4807.317059	200	110
4	0	0.743122599	0	0	0	0	0	0	0	0	0	0	100	0	74	0	9	7	9.5	0	0	0	59.71888125	0	0	0	0	-4.646830899	55.09946385	0	100	0	16	12409.95919	129.152225	39755.83816	0	3576.920711	0	4372.423966	3617.921051	8.529345474	852.9345474	21101.51727	28268.13685	0	91776.26501	14	10
5	0	0	0	43.86641418	0	0	0	40.51500755	0	0	0	0	0	0	15	0	16	5	0	0	0	0	105.8920846	0	2758.78609	441.975646	0	-7.263972532	57.08401019	0	70.64512843	0	21	0	198.5496022	6777.210682	0	12654.99406	0	42957.87813	81892.40725	6.430821107	180.252346	5946.65235	0	0	0	33	33
6	0	0.954069537	48.25773228	0	0	0	0	0	0	0	0	0	17.48301591	0	2	0	1	0	0	0	0	0	121.2289062	0	870.8198497	26345.90876	0	-4.986792062	57.51858083	0	58.19038347	0	1	23062.13934	204.0059687	51196.96021	0	12330.99474	1485.66611	20523.69036	1961.167462	2.58490984	258.490984	23329.59393	29567.50109	0	36150.6963	0	0
7	0	4.394818352	55.78244156	20.49535065	0	0	0	0	0	0	0	0	0	0	6	0	5	4	0	0	1	0	89.90915	0	0	0	0	-3.298791475	57.0082277	100	100	0	10	48967.19388	208.2982062	58140.8087	0	100.1219697	0	0	30938.9198	1.959293747	195.9293747	112125.009	71489.42785	20.49535065	63046.3395	78	36
8	0	31.99383886	34.69521285	39.32162628	34.54807889	0	0	0	0	0	0	0	0	0	13	0	28	26	21.3	0	1	2	48.43153858	0	0	0	0	-4.000615934	57.80761727	0	42.47257221	0	57	0	121.0809666	24454.62121	0	520.5890455	0	0	0	36.49248183	2755.596329	78569.77657	34924.15411	14.89172914	3341.603483	49	36
9	0	29.56613938	30.52052985	66.66574403	0	0	0	55.57483976	0	0	0	0	0	0	34	0	0	0	0	0	0	0	104.3472687	0	2036.276272	0	0	-6.196139799	56.40494439	0	96.10046085	0	0	0	181.7817802	36798.24622	2104.30926	6879.910384	1714.299601	7375.946347	39574.64769	1.019046383	33.61872482	8521.094089	0	2.993505489	0	151	72
10	0	3.959129417	3.177500435	0	3.180432246	0	0	0	0	0	0	1.026176833	0	0	122	0	30	7	4	0	0	0	43.95156875	0	0	0	0	-2.940278542	55.84345559	0	5.006425851	0	37	6516.740145	98.96430625	22389.91208	0	1516.280961	0	9363.470294	1658.04518	152.3850946	15238.50946	35258.70573	59119.48232	0	43881.10887	36	32
11	0	3.330414828	0	3.877055382	0	0	0	0	0	0	0	0	0	0	14	0	12	3	0	0	0	0	82.52686875	0	0	0	0	-3.976118864	57.3587684	0.170437062	4.370498673	0	15	11574.42177	195.0524813	15545.37879	0	12291.92412	0	10266.64975	5481.128134	4.903401031	490.3401031	80895.51474	62033.30005	3.877055382	19077.78253	120	57
12	0	14.58046476	5.506911716	3.715901342	0	0	17.46569993	0	0	0	0	0	0	0	25	0	4	10	21.3	0	0	1	102.1992	0	0	2434.21391	0	-4.726888876	56.26623104	99.41134452	100	0	15	1548.213912	200.8970938	41496.34908	0	1611.831733	0	19569.46845	0	4.796729546	479.6729546	6729.116646	7261.655646	3.715901342	45055.83331	96	44
